geneID,Entry,geneNames,geneName
YDR430C,P32898,CYM1;MOP112;YDR430C;D9461.18,CYM1
YNR028W,P53728,CPR8;YNR028W;N3255,CPR8
YML078W,P25719,CPR3;CYP3;YML078W,CPR3
YKL087C,Q00873,CYT2;YKL087C,CYT2
YML070W,P54838,DAK1;YML070W,DAK1
YFL053W,P43550,DAK2;YFL053W,DAK2
YJR150C,P47178,DAN1;CCW13;YJR150C;J2217,DAN1
YIR030C,P32460,DCG1;YIR030C,DCG1
YDR320C-A,P69851,DAD4;HSK2;YDR320C-A,DAD4
YOR046C,P20449,DBP5;RAT8;YOR046C,DBP5
YKR024C,P36120,DBP7;YKR024C,DBP7
YOL052C,P21182,SPE2;YOL052C;O1275,SPE2
YCL016C,P25559,DCC1;YCL016C;YCL16C,DCC1
YOR163W,Q99321,DDP1;YOR163W;O3575,DDP1
YDR051C,Q99288,DET1;YDR051C;D4202,DET1
YLR395C,P04039,COX8;YLR395C;L8084.14,COX8
YDL067C,P07255,COX9;YDL067C;D2520,COX9
YGR247W,P53314,CPD1;YGR247W,CPD1
YOR100C,Q12289,CRC1;YOR100C;YOR3193C,CRC1
YGR189C,P53301,CRH1;YGR189C;G7553,CRH1
YLR213C,Q05790,CRR1;YLR213C,CRR1
YLR241W,Q06538,CSC1;YLR241W,CSC1
YBR161W,P38287,CSH1;YBR161W;YBR1212,CSH1
YIL071C,P40512,PCI8;CSN11;YIH1;YIL071C,PCI8
YJR084W,P47130,CSN12;YJR084W;J1860,CSN12
YDR179C,Q03981,CSN9;YDR179C,CSN9
YHR191C,P38877,CTF8;YHR191C,CTF8
YDR151C,P47976,CTH1;YDR151C;YD8358.07C,CTH1
YML112W,P46963,CTK3;YML112W;YM8339.07,CTK3
YMR180C,Q03220,CTL1;YMR180C;YM8010.10C,CTL1
YHR109W,P38818,CTM1;YHR109W,CTM1
YGL166W,P15315,CUP2;ACE1;YGL166W;G1810,CUP2
YGR278W,P53333,CWC22;YGR278W,CWC22
YLR323C,P53769,CWC24;YLR323C;L8543.3,CWC24
YNL245C,P53854,CWC25;YNL245C;N0901,CWC25
YGL174W,P46947,BUD13;CWC26;SLC7;YGL174W;G1642,BUD13
YMR032W,Q05080,HOF1;CYK2;YMR032W;YM9973.05,HOF1
YDL117W,Q07533,CYK3;YDL117W,CYK3
YDR304C,P35176,CPR5;CYP5;CYPD;YDR304C;D9740.14,CPR5
YJR151C,P47179,DAN4;YJR151C;J2223,DAN4
YPL170W,Q12091,DAP1;YPL170W;P2515,DAP1
YDL031W,Q12389,DBP10;YDL031W;D2770,DBP10
YLR128W,Q12395,DCN1;YLR128W;L3111,DCN1
YLR270W,Q06151,DCS1;YLR270W,DCS1
YKR083C,P36162,DAD2;HSK1;YKR083C;YKR403,DAD2
