,seed_id
s_0456,C00011
s_0457,C00011
s_0458,C00011
s_0460,C00011
s_0461,C00011
s_0462,C00011
s_0465,C01209
s_0467,C00112
s_0468,C00112
s_0469,C00307
s_0474,C00570
s_0475,CHEBI:52961
s_0476,CHEBI:52961
s_0477,CHEBI:52961
s_0478,CHEBI:52962
s_0479,CHEBI:52962
s_0480,CHEBI:52962
s_0481,CHEBI:52979
s_0482,CHEBI:52979
s_0483,CHEBI:52979
s_0484,CHEBI:52980
s_0485,CHEBI:52980
s_0486,CHEBI:52980
s_0487,CHEBI:52371
s_0488,CHEBI:52371
s_0489,CHEBI:52371
s_0490,CHEBI:52372
s_0491,CHEBI:52372
s_0492,CHEBI:52372
s_0493,CHEBI:52373
s_0494,CHEBI:52373
s_0495,CHEBI:52373
s_0496,CHEBI:52374
s_0497,CHEBI:52374
s_0498,CHEBI:52374
s_0499,CHEBI:60256
s_0500,CHEBI:60256
s_0501,CHEBI:60256
s_0502,CHEBI:60384
s_0503,CHEBI:60384
s_0504,CHEBI:60384
s_0507,CHEBI:31013
s_0509,C00461
s_0510,C00734
s_0511,C00114
s_0512,C00114
s_0513,C00114
s_0514,C00588
s_0515,C00251
s_0516,C00417
s_0517,C00417
s_0522,C00158
s_0523,C00158
s_0524,C00158
s_0525,C00158
s_0526,C00055
s_0528,C00055
s_0529,C00010
s_0530,C00010
s_0531,C00010
s_0532,C00010
s_0533,C00010
s_0534,C00010
s_0538,C03263
s_0539,C00063
s_0541,C00063
s_0543,C00475
s_0544,C00475
s_0545,C00380
s_0546,C00380
s_0547,C00652
s_0548,C00216
s_0549,C00216
s_0550,C04666
s_0551,C00279
s_0552,C00279
s_0553,C00095
s_0554,C00095
s_0555,C00354
s_0556,C01094
s_0557,C00085
s_0558,C00124
s_0559,C00124
s_0560,C00333
s_0561,C00794
s_0562,C00794
s_0563,C00031
s_0565,C00031
s_0566,C00031
s_0567,C00103
s_0568,C00092
s_0570,C00577
s_0571,C00159
s_0572,C00159
s_0573,C00636
s_0574,C00275
s_0575,C00121
s_0576,C00121
s_0577,C00199
s_0578,C00181
s_0579,C00181
s_0580,C00310
s_0581,C00231
s_0582,C00206
s_0583,C00206
s_0584,C00360
s_0585,C00360
s_0586,C00131
s_0587,C00705
s_0588,C00705
s_0589,C00239
s_0590,C00458
s_0591,C00857
s_0593,C00857
s_0595,C01571
s_0597,C01571
s_0600,C01571
s_0605,C05274
s_0606,C17432
s_0607,C06316
s_0608,CHEBI:53027
s_0609,CHEBI:53027
s_0610,C00881
s_0611,C00881
s_0612,C01909
s_0613,C00361
s_0614,C00361
s_0615,C00362
s_0616,C00362
s_0617,C00286
s_0618,C01344
s_0620,C00165
s_0625,C00415
s_0626,C00415
s_0627,C00579
s_0628,C02972
s_0629,C00111
s_0631,C00111
s_0632,C00111
s_0633,C00013
s_0635,C00013
s_0636,C00013
s_0637,C00013
s_0638,C00013
s_0639,C01345
s_0640,CHEBI:53031
s_0641,CHEBI:53041
s_0642,C00381
s_0644,C03862
s_0645,C00110
s_0646,C00110
s_0647,C00363
s_0649,C00364
s_0650,C00459
s_0651,C00459
s_0652,C01346
s_0653,C01346
s_0654,C00365
s_0655,C00365
s_0656,C00460
s_0657,C15777
s_0659,C15777
s_0662,C05440
s_0663,C05440
s_0664,C15780
s_0665,C01694
s_0666,C01694
s_0667,C01694
s_0668,C01694
s_0669,C01694
s_0670,CHEBI:52973
s_0672,CHEBI:52320
s_0677,C05947
s_0678,C05947
s_0679,C05947
s_0680,C00469
s_0681,C00469
s_0682,C00469
s_0683,C00189
s_0684,C00189
s_0685,C00849
s_0686,C00849
s_0687,C00016
s_0688,C00016
s_0689,C01352
s_0690,C01352
s_0692,C00448
s_0694,C00162
s_0699,C04525
s_0700,C04525
s_0702,C04525
s_0703,C04525
s_0709,C00125
s_0710,C00126
s_0712,C00032
s_0713,C03294
s_0714,C00061
s_0715,C00061
s_0716,C00061
s_0717,C01847
s_0719,C00504
s_0720,C00504
s_0721,C00067
s_0722,C00058
s_0723,C00058
s_0724,C00058
s_0725,C00122
s_0726,C00122
s_0727,C00122
s_0734,C00334
s_0736,C00334
s_0738,C00334
s_0739,C00035
s_0740,C00035
s_0741,C00035
s_0742,C00035
s_0743,C00096
s_0744,C00096
s_0745,C00341
s_0746,C00353
s_0747,C02282
s_0748,C02987
s_0749,C02987
s_0750,C00051
s_0751,C00051
s_0752,C00051
s_0753,C00051
s_0754,C00127
s_0755,C00127
s_0756,C00127
s_0764,C00661
s_0765,C00116
s_0766,C00116
s_0767,C00093
s_0769,C00093
s_0770,C00093
s_0771,C00184
s_0773,C00182
s_0774,C00182
s_0775,C00266
s_0776,C00266
s_0777,C00266
s_0779,C00048
s_0780,C00048
s_0781,C00048
s_0782,C00144
s_0783,C00144
s_0785,C00044
s_0786,C00044
s_0787,C00242
s_0788,C00242
s_0789,C00242
s_0790,C00387
s_0791,C00387
s_0792,C00387
s_0793,cpd00067
s_0794,cpd00067
s_0795,cpd00067
s_0796,cpd00067
s_0797,cpd00067
s_0798,cpd00067
s_0799,cpd00067
s_0800,cpd00067
s_0801,cpd00067
s_0802,cpd00067
s_0803,cpd00001
s_0804,cpd00001
s_0805,cpd00001
s_0806,cpd00001
s_0807,cpd00001
s_0808,cpd00001
s_0809,cpd00001
s_0810,cpd00001
s_0811,C15670
s_0812,C15672
s_0813,CHEBI:53032
s_0814,CHEBI:53036
s_0815,C04216
s_0816,CHEBI:52966
s_0817,CHEBI:52966
s_0819,CHEBI:52966
s_0823,MNXM581
s_0825,C00517
s_0826,C00517
s_0829,CHEBI:53037
s_0830,C01230
s_0831,C01230
s_0832,C02988
s_0833,C02988
s_0834,C01251
s_0835,C01251
s_0836,C05662
s_0837,C00027
s_0838,C00027
s_0839,C00027
s_0840,C00027
s_0841,C00283
s_0843,C00262
s_0844,C00262
s_0845,CHEBI:53033
s_0846,C00104
s_0847,C03127
s_0848,C03127
s_0849,C00130
s_0850,C00637
s_0851,C00637
s_0852,C00637
s_0853,C00954
s_0854,C00954
s_0855,C00331
s_0856,C00294
s_0857,C00294
s_0859,CHEBI:62682
s_0861,CHEBI:60439
s_0862,CHEBI:60439
s_0863,CHEBI:60439
s_0864,CHEBI:62715
s_0865,CHEBI:62715
s_0866,CHEBI:62715
s_0867,CHEBI:60443
s_0868,CHEBI:60443
