,seed_id
s_0384[e],C00147
s_0385[m],C00147
s_0386[c],C00212
s_0387[e],C00212
s_0389[c],C00946
s_0390[c],C00054
s_0391[e],C00054
s_0392[m],C00054
s_0393[c],C03794
s_0394[c],C00008
s_0395[er],C00008
s_0397[m],C00008
s_0398[n],C00008
s_0399[p],C00008
s_0402[n],C00301
s_0403[c],C04677
s_0405[c],C00499
s_0406[e],C00499
s_0407[c],C01551
s_0408[e],C01551
s_0409[c],C00689
s_0410[c],C00446
s_0411[c],C06156
s_0412[c],C00352
s_0413[e],C00352
s_0414[g],C05861
s_0415[c],C00620
s_0416[m],C00620
s_0417[c],C06735
s_0418[c],C01888
s_0419[c],C01342
s_0420[e],C01342
s_0421[m],C01342
s_0423[c],C00020
s_0424[m],C00020
s_0425[n],C00020
s_0426[p],C00020
s_0427[c],C00108
s_0428[c],C02163
s_0429[m],C02163
s_0430[c],C03402
s_0431[m],C03402
s_0432[c],C02984
s_0433[m],C02984
s_0434[c],C00002
s_0435[er],C00002
s_0437[m],C00002
s_0438[n],C00002
s_0439[p],C00002
s_0441[c],C00099
s_0442[c],C00665
s_0443[c],C05860
s_0444[g],C05860
s_0445[c],C00288
s_0446[e],C00288
s_0447[m],C00288
s_0448[n],C00288
s_0450[c],biomass
s_0451[c],C00120
s_0452[e],C00120
s_0453[c],C05921
s_0454[m],C04002
s_0455[c],C00169
s_0456[c],C00011
s_0457[er],C00011
s_0458[e],C00011
s_0460[m],C00011
s_0461[n],C00011
s_0462[p],C00011
s_0465[m],C01209
s_0467[c],C00112
s_0468[n],C00112
s_0469[c],C00307
s_0474[c],C00570
s_0475[er],CHEBI:52961
s_0476[g],CHEBI:52961
s_0477[m],CHEBI:52961
s_0478[er],CHEBI:52962
s_0479[g],CHEBI:52962
s_0480[m],CHEBI:52962
s_0481[er],CHEBI:52979
s_0482[g],CHEBI:52979
s_0483[m],CHEBI:52979
s_0484[er],CHEBI:52980
s_0485[g],CHEBI:52980
s_0486[m],CHEBI:52980
s_0487[er],CHEBI:52371
s_0488[g],CHEBI:52371
s_0489[m],CHEBI:52371
s_0490[er],CHEBI:52372
s_0491[g],CHEBI:52372
s_0492[m],CHEBI:52372
s_0493[er],CHEBI:52373
s_0494[g],CHEBI:52373
s_0495[m],CHEBI:52373
s_0496[er],CHEBI:52374
s_0497[g],CHEBI:52374
s_0498[m],CHEBI:52374
s_0499[er],CHEBI:60256
s_0500[g],CHEBI:60256
s_0501[m],CHEBI:60256
s_0502[er],CHEBI:60384
s_0503[g],CHEBI:60384
s_0504[m],CHEBI:60384
s_0507[er],CHEBI:31013
s_0509[c],C00461
s_0510[ce],C00734
s_0511[ce],C00114
s_0512[c],C00114
s_0513[e],C00114
s_0514[c],C00588
s_0515[c],C00251
s_0516[c],C00417
s_0517[m],C00417
s_0522[c],C00158
s_0523[e],C00158
s_0524[m],C00158
s_0525[p],C00158
s_0526[c],C00055
s_0528[m],C00055
s_0529[c],C00010
s_0530[er],C00010
s_0531[lp],C00010
s_0532[m],C00010
s_0533[n],C00010
s_0534[p],C00010
s_0538[c],C03263
s_0539[c],C00063
s_0541[m],C00063
s_0543[c],C00475
s_0544[e],C00475
s_0545[c],C00380
s_0546[e],C00380
s_0547[c],C00652
s_0548[c],C00216
s_0549[e],C00216
s_0550[c],C04666
s_0551[c],C00279
s_0552[m],C00279
s_0553[c],C00095
s_0554[e],C00095
s_0555[c],C00354
s_0556[c],C01094
s_0557[c],C00085
s_0558[c],C00124
s_0559[e],C00124
s_0560[e],C00333
s_0561[c],C00794
s_0562[e],C00794
s_0563[c],C00031
s_0565[e],C00031
s_0566[v],C00031
s_0567[c],C00103
s_0568[c],C00092
s_0570[c],C00577
s_0571[c],C00159
s_0572[e],C00159
s_0573[c],C00636
s_0574[c],C00275
s_0575[c],C00121
s_0576[e],C00121
s_0577[c],C00199
s_0578[c],C00181
s_0579[e],C00181
s_0580[c],C00310
s_0581[c],C00231
s_0582[c],C00206
s_0583[n],C00206
s_0584[c],C00360
s_0585[m],C00360
s_0586[c],C00131
s_0587[c],C00705
s_0588[n],C00705
s_0589[c],C00239
s_0590[c],C00458
s_0591[c],C00857
s_0593[n],C00857
s_0595[c],C01571
s_0597[e],C01571
s_0600[p],C01571
s_0605[p],C05274
s_0606[lp],C17432
s_0607[c],C06316
s_0608[c],CHEBI:53027
s_0609[n],CHEBI:53027
s_0610[c],C00881
s_0611[e],C00881
s_0612[c],C01909
s_0613[c],C00361
s_0614[n],C00361
s_0615[c],C00362
s_0616[m],C00362
s_0617[c],C00286
s_0618[c],C01344
s_0620[er],C00165
s_0625[c],C00415
s_0626[m],C00415
s_0627[m],C00579
s_0628[m],C02972
s_0629[c],C00111
s_0631[lp],C00111
s_0632[m],C00111
s_0633[c],C00013
s_0635[lp],C00013
s_0636[m],C00013
s_0637[n],C00013
s_0638[p],C00013
s_0639[c],C01345
s_0640[lp],CHEBI:53031
s_0641[lp],CHEBI:53041
s_0642[c],C00381
s_0644[er],C03862
s_0645[c],C00110
s_0646[er],C00110
s_0647[c],C00363
s_0649[c],C00364
s_0650[c],C00459
s_0651[e],C00459
s_0652[c],C01346
s_0653[n],C01346
s_0654[c],C00365
s_0655[n],C00365
s_0656[c],C00460
s_0657[c],C15777
s_0659[e],C15777
s_0662[c],C05440
s_0663[er],C05440
s_0664[c],C15780
s_0665[ce],C01694
s_0666[c],C01694
s_0667[er],C01694
s_0668[e],C01694
s_0669[lp],C01694
s_0670[c],CHEBI:52973
s_0672[c],CHEBI:52320
s_0677[c],C05947
s_0678[m],C05947
s_0679[p],C05947
s_0680[c],C00469
s_0681[e],C00469
s_0682[m],C00469
s_0683[c],C00189
s_0684[e],C00189
s_0685[c],C00849
s_0686[e],C00849
s_0687[c],C00016
s_0688[m],C00016
s_0689[c],C01352
s_0690[m],C01352
s_0692[lp],C00448
s_0694[c],C00162
s_0699[ce],C04525
s_0700[c],C04525
s_0702[e],C04525
s_0703[lp],C04525
s_0709[m],C00125
s_0710[m],C00126
s_0712[m],C00032
s_0713[m],C03294
s_0714[c],C00061
s_0715[e],C00061
s_0716[m],C00061
s_0717[c],C01847
s_0719[c],C00504
s_0720[e],C00504
s_0721[c],C00067
s_0722[c],C00058
s_0723[e],C00058
s_0724[m],C00058
s_0725[c],C00122
s_0726[e],C00122
s_0727[m],C00122
s_0734[c],C00334
s_0736[e],C00334
s_0738[m],C00334
s_0739[c],C00035
s_0740[g],C00035
s_0741[m],C00035
s_0742[n],C00035
s_0743[c],C00096
s_0744[g],C00096
s_0745[c],C00341
s_0746[lp],C00353
s_0747[c],C02282
s_0748[c],C02987
s_0749[m],C02987
s_0750[c],C00051
s_0751[e],C00051
s_0752[m],C00051
s_0753[v],C00051
s_0754[c],C00127
s_0755[e],C00127
s_0756[m],C00127
s_0764[c],C00661
s_0765[c],C00116
s_0766[e],C00116
s_0767[c],C00093
s_0769[lp],C00093
s_0770[m],C00093
s_0771[c],C00184
s_0773[c],C00182
s_0774[v],C00182
s_0775[c],C00266
s_0776[e],C00266
s_0777[m],C00266
s_0779[c],C00048
s_0780[e],C00048
s_0781[p],C00048
s_0782[c],C00144
