compartment,min,max
nucleus,0.0460104801275655,0.1181192654730724
mitochondrion,0.2081742197446269,0.4543426119303611
membrane,0.03425563217181576,0.08873475372198077
bounding membrane of organelle,0.0,0.0
Golgi stack,0.0,1.546135207042608e-06
Golgi apparatus,0.000973179515506893,0.003538710055171738
endosome,0.0005997191211775745,0.001972552810133651
late endosome,4.230433656089757e-05,0.0001755248028108832
cytosol,0.0932724483131493,0.1804298621559011
cytoplasm,0.2010354339200809,0.37460453011574
plasma membrane,0.003768490296483149,0.05758041301437686
fungal-type vacuole membrane,0.005641222485887442,0.01244811705628478
extracellular region,0.0007223583006035804,0.008470538013807864
fungal-type cell wall,0.000850140971705804,0.006730595045747911
endoplasmic reticulum membrane,0.00516308768188374,0.02184195552113052
endoplasmic reticulum,0.007299334300581696,0.03386137058303281
endoplasmic reticulum-Golgi intermediate compartment,0.0,0.0
COPII-coated ER to Golgi transport vesicle,0.0,0.0002419252958714935
mitochondrial outer membrane,0.002173053867883745,0.01281308030984773
nuclear membrane,6.629347343807726e-06,4.808747909838681e-05
nucleoplasm,0.0,0.0
endomembrane system,0.001459744349545964,0.00450110731245868
endosome membrane,0.0006227684034420996,0.002003718664333574
cellular bud neck,0.0006442123273150863,0.004991060910982861
cellular bud tip,0.0005508331208739889,0.004493914999467482
mating projection tip,0.004768267735239369,0.02243909484498249
ascospore wall,0.0,0.0
spore wall,0.0,0.0
prospore membrane,1.742529334651481e-05,0.0003660883454291489
lipid droplet,0.007901374571257214,0.07399419909407887
chromosome,1.835190824124722e-05,6.16746686905434e-05
"chromosome, centromeric region",0.0,0.0
"chromosome, telomeric region",0.0001458980746871215,0.0005328467881516744
P-body,0.0,4.843401913085852e-06
cellular bud,0.0005508331208739889,0.004493914999467482
nucleolus,0.0008904397922406212,0.003207925829796551
trans-Golgi network,2.482444716156482e-05,0.0001043294690572237
vesicle,0.0,0.0
cell periphery,0.005640790032500338,0.05260660657481384
U2-type catalytic step 1 spliceosome,0.0,0.0
U2-type catalytic step 2 spliceosome,0.0,0.0
cytoskeleton,3.807827437957462e-05,0.0001276073649645276
kinetochore,0.0,0.0
cytoplasmic stress granule,0.006697529393033836,0.01860076878816333
peroxisome,0.002874361753279942,0.05689408494120854
mitochondrial inner membrane,0.01669788646149679,0.1914693551528703
mitochondrial intermembrane space,0.008918131648829436,0.0277971320273324
incipient cellular bud site,0.0001029643334495229,0.000991173171698434
Golgi membrane,0.0004198992151059035,0.001407776343207464
mitochondrial matrix,0.01555047752044258,0.1564135882090834
mitochondria-associated endoplasmic reticulum membrane,0.0,0.0
peroxisomal membrane,0.0007164774662620191,0.02406817890177719
side of membrane,3.651895061648749e-05,0.0004540003945016191
nuclear pore,0.0,0.0
nuclear pore central transport channel,0.0,0.0
nuclear pore nuclear basket,0.0,0.0
condensed nuclear chromosome,0.0,0.0
microtubule cytoskeleton,0.0,0.0
cell tip,0.0,0.0
nuclear envelope,0.0001003909157165443,0.0004032295587105589
vacuolar membrane,0.005124271270561252,0.01127302917488415
vacuole,0.006570586440766007,0.01488678861706623
cytoplasmic vesicle,0.0001823620889145066,0.0007190483691622812
ER to Golgi transport vesicle membrane,0.0,0.0
COPI-coated vesicle membrane,0.0,0.0
Golgi trans cisterna,0.0,0.0
nuclear outer membrane,0.0,0.0
