geneID	enzymes	shortNames	action	source
b4025	glucose-6-phosphate isomerase	pgi	KO	10.1101/2025.06.12.659423
b0825	fructose-6-phosphate aldolase	fsaA	KO	10.1101/2025.06.12.659423
b0767	6-phosphogluconolactonase	pgl	KO	10.1101/2025.06.12.659423
b2329	chorismate synthase	aroC	OE	10.1101/2025.06.12.659423
b2029	6-phosphogluconate dehydrogenase	gnd	OE	10.1101/2025.06.12.659423
b0116	-	lpd	KD	10.1101/2025.06.12.659423
b3386	ribulose-phosphate 3-epimerase	rpe	KD	10.1101/2025.06.12.659423
b0571	-	aroG*	OE	10.1101/2025.06.12.659423
