geneID	enzymes	shortNames	action	source
YNL241C	ZWF1		OE	10.1016/j.cell.2018.07.013
YHR183W	GND1		OE	10.1016/j.cell.2018.07.014
YPR074C	TKL1		OE	10.1016/j.cell.2018.07.015
YLR354C	TAL1		OE	10.1016/j.cell.2018.07.016
YBR196C	PGI1		KD	10.1016/j.cell.2018.07.017
YOR136W	IDH2		KD	10.1016/j.cell.2018.07.018
YNL037C	IDH1		KD	10.1016/j.cell.2018.07.019
YLR174W	IDP2		OE	10.1016/j.cell.2018.07.020
YOL126C	MDH2		OE	10.1016/j.cell.2018.07.021
YBR291C	CTP1		OE	10.1016/j.cell.2018.07.022
YMR241W	YHM2		OE	10.1016/j.cell.2018.07.023
YGL080W	MPC1		OE	10.1016/j.cell.2018.07.024
YGR243W	MPC3		OE	10.1016/j.cell.2018.07.025
YNR016C	ACC1		OE	10.1016/j.cell.2018.07.026
YGL062W	PYC1		KD	10.1016/j.cell.2018.07.027
YGL205W	POX1		KO	10.1038/ncomms11709
YOR317W	FAA1		KO	10.1038/ncomms11710
YMR246W	FAA4		KO	10.1038/ncomms11711
