geneID	enzymes	shortNames	action	source
YNL241C	ZWF1		OE	10.1016/j.ymben.2022.11.002
YHR183W	GND1		OE	10.1016/j.ymben.2022.11.002
YPR074C	TKL1		OE	10.1016/j.ymben.2022.11.002
YLR354C	TAL1		OE	10.1016/j.ymben.2022.11.002
YBR196C	PGI1		KD	10.1016/j.ymben.2022.11.002
YOR136W	IDH2		KD	10.1016/j.ymben.2022.11.002
YNL037C	IDH1		KD	10.1016/j.ymben.2022.11.002
YLR174W	IDP2		OE	10.1016/j.ymben.2022.11.002
YOL126C	MDH2		OE	10.1016/j.ymben.2022.11.002
YBR291C	CTP1		OE	10.1016/j.ymben.2022.11.002
YMR241W	YHM2		OE	10.1016/j.ymben.2022.11.002
YGL080W	MPC1		OE	10.1016/j.ymben.2022.11.002
YGR243W	MPC3		OE	10.1016/j.ymben.2022.11.002
YGL062W	PYC1		OE	10.1016/j.ymben.2022.11.002
YHR190W	ERG9		KD	10.1016/j.ymben.2022.11.002
YPL028W	ERG10		OE	10.1016/j.ymben.2022.11.002
YML075C	HMG1		OE	10.1016/j.ymben.2022.11.002
YLR450W	HMG2		OE	10.1016/j.ymben.2022.11.002
YJL167W	ERG20		OE	10.1016/j.ymben.2022.11.002
YPL069C	BTS1		OE	10.1016/j.ymben.2022.11.002
YKL008C	LAC1		OE	10.1016/j.ymben.2022.11.002
YPL171C	OYE3		OE	10.1016/j.ymben.2022.11.002
