geneID	enzymes	shortNames	action	source
YDL056W	P39678	MBP1	OE	10.1038/s41467-025-59966-x
YPL075W	P28870	GCR1	OE	10.1038/s41467-025-59966-x
YNL199C	P25484	GCR2	OE	10.1038/s41467-025-59966-x
YER024W	P34212	SIP4	KO	10.1038/s41467-025-59966-x
YGL035C	P27705	MIG1	KO	10.1038/s41467-025-59966-x
YKR097W	P20805	PCK1	KO	10.1038/s41467-025-59966-x
YLR377C	P15019	FBP1	KO	10.1038/s41467-025-59966-x
YAL038W	P00549	PYK1	OE	10.1038/s41467-025-59966-x
YGR240C	P16861	PFK1	OE	10.1038/s41467-025-59966-x
YMR205C	P16862	PFK2	OE	10.1038/s41467-025-59966-x
YKL060C	P14540	FBA1	OE	10.1038/s41467-025-59966-x
YDR050C	P00942	TPI1	OE	10.1038/s41467-025-59966-x
YGR192C	P00360	TDH3	OE	10.1038/s41467-025-59966-x
YCR012W	P00560	PGK1	OE	10.1038/s41467-025-59966-x
YKL152C	P00950	GPM1	OE	10.1038/s41467-025-59966-x
YHR174W	P00925	ENO2	OE	10.1038/s41467-025-59966-x
YOL136C	P40433	PFK27	OE	10.1038/s41467-025-59966-x
YBR282W	Q06081	MPC3	KD	10.1038/s41467-025-59966-x
YLR044C	P06169	PDC1	OE	10.1038/s41467-025-59966-x
YIL053W	P40106	GPP1	KO	10.1038/s41467-025-59966-x
YJR104C	P00445	SOD1	OE	10.1038/s41467-025-59966-x
YHR008C	P00444	SOD2	OE	10.1038/s41467-025-59966-x
YNR016C	Q00955	ACC1	OE	10.1038/s41467-025-59966-x
YPL147W	P38102	PXA1	KO	10.1038/s41467-025-59966-x
YMR318C	P38113	ADH6	KO	10.1038/s41467-025-59966-x
