geneID	enzymes	shortNames	action	source
YKL001C	Q02196	MET14	OE	10.1016/j.ymben.2022.01.012
YPR167C	P18408	MET16	OE	10.1016/j.ymben.2022.01.012
YDR463W	Q00947	STP1	OE	10.1016/j.ymben.2022.01.012
YER055C	P00498	HIS1	OE	10.1016/j.ymben.2022.01.012
YEL009C	P03069	GCN4(ORF 1-4)	KO	10.1016/j.ymben.2022.01.012
YNL229C	P23202	URE2	KO	10.1016/j.ymben.2022.01.012
YGL012W 	P25340	ERG4	KO	10.1016/j.ymben.2022.01.012
YOL052C	P21182	SPE2	KO	10.1016/j.ymben.2022.01.012
YJR130C	P47164	STR2	KO	10.1016/j.ymben.2022.01.012
YGR155W	P32582	CYS4	OE	Lu lab
YOR388C	Q08911	FDH1	KO	Lu lab
