,model_type,product_name,organelle_constraint,level,consistency,precision,predict_num,average_distance,connectivity_score
0,ecGEM,2-phenylethanol,yes,l1,0.5384615384615384,0.0958904109589041,73,6.113514046717172,19.47945205479452
1,ecGEM,2-phenylethanol,yes,l2,0.5384615384615384,0.11666666666666667,60,6.053352490421456,19.833333333333332
2,ecGEM,2-phenylethanol,yes,l3,0.38461538461538464,0.21739130434782608,23,6.3,8.782608695652174
3,ecGEM,2-phenylethanol,yes,fcc,0.3076923076923077,0.4,10,5.89,12.5
4,ecGEM,2-phenylethanol,without mitochondria,l1,0.5384615384615384,0.125,56,6.149657687991021,22.714285714285715
5,ecGEM,2-phenylethanol,without mitochondria,l2,0.5384615384615384,0.1590909090909091,44,6.075843803892584,25.068181818181817
6,ecGEM,2-phenylethanol,without mitochondria,l3,0.38461538461538464,0.5555555555555556,9,6.009090909090909,17.555555555555557
7,ecGEM,2-phenylethanol,without mitochondria,fcc,0.3076923076923077,0.4,10,6.1899999999999995,13.5
8,ecGEM,ffa,yes,l1,0.2777777777777778,0.09615384615384616,52,6.835258358662614,25.26923076923077
9,ecGEM,ffa,yes,l2,0.16666666666666666,0.07692307692307693,39,6.980952380952381,26.564102564102566
10,ecGEM,ffa,yes,l3,0.1111111111111111,0.13333333333333333,15,7.339761904761904,19.266666666666666
11,ecGEM,ffa,yes,fcc,0.05555555555555555,0.1,10,6.0625,13.0
12,ecGEM,ffa,without mitochondria,l1,0.2222222222222222,0.05194805194805195,77,7.630132850241546,11.878378378378379
13,ecGEM,ffa,without mitochondria,l2,0.1111111111111111,0.034482758620689655,58,7.7313685636856375,12.741379310344827
14,ecGEM,ffa,without mitochondria,l3,0.05555555555555555,0.029411764705882353,34,8.5,4.205882352941177
15,ecGEM,ffa,without mitochondria,fcc,0.05555555555555555,0.09090909090909091,11,7.0353535353535355,5.0
16,ecGEM,heme,yes,l1,0.2631578947368421,0.23809523809523808,42,7.159889716836311,36.71264367816092
17,ecGEM,heme,yes,l2,0.23684210526315788,0.2903225806451613,31,7.222945199058644,40.43055555555556
18,ecGEM,heme,yes,l3,0.18421052631578946,0.7777777777777778,9,6.538461538461538,8.692307692307692
19,ecGEM,heme,yes,fcc,0.23684210526315788,0.6923076923076923,13,5.6923076923076925,3.0
20,ecGEM,heme,without mitochondria,l1,0.23684210526315788,0.1125,80,7.550752086078173,10.291139240506329
21,ecGEM,heme,without mitochondria,l2,0.23684210526315788,0.14285714285714285,63,7.5157687991021325,11.815384615384616
22,ecGEM,heme,without mitochondria,l3,0.18421052631578946,0.175,40,7.807272727272728,5.275
23,ecGEM,heme,without mitochondria,fcc,0.23684210526315788,0.5294117647058824,17,6.25,3.0
24,ecGEM,sclareol,yes,l1,0.2727272727272727,0.08823529411764706,68,7.255268039992897,39.833333333333336
25,ecGEM,sclareol,yes,l2,0.13636363636363635,0.061224489795918366,49,7.34915699873279,45.50909090909091
26,ecGEM,sclareol,yes,l3,0.045454545454545456,0.1111111111111111,9,6.020833333333333,12.555555555555555
27,ecGEM,sclareol,yes,fcc,0.045454545454545456,0.25,4,4.875,8.5
28,ecGEM,sclareol,without mitochondria,l1,0.18181818181818182,0.05063291139240506,79,7.3341210865878805,39.11538461538461
29,ecGEM,sclareol,without mitochondria,l2,0.13636363636363635,0.05172413793103448,58,7.443460116157119,45.65
30,ecGEM,sclareol,without mitochondria,l3,0.045454545454545456,0.14285714285714285,7,5.75,10.0
31,ecGEM,sclareol,without mitochondria,fcc,0.045454545454545456,0.25,4,4.875,8.5
32,ecGEM,spermidine,yes,l1,0.38095238095238093,0.08602150537634409,93,6.439035447756377,31.849462365591396
33,ecGEM,spermidine,yes,l2,0.2857142857142857,0.0821917808219178,73,6.707205548754844,34.602739726027394
34,ecGEM,spermidine,yes,l3,0.19047619047619047,0.2,20,6.445833333333333,32.2
35,ecGEM,spermidine,yes,fcc,0.047619047619047616,0.3333333333333333,3,7.333333333333333,32.0
36,ecGEM,spermidine,without mitochondria,l1,0.3333333333333333,0.08433734939759036,83,6.489825598378229,33.7710843373494
37,ecGEM,spermidine,without mitochondria,l2,0.23809523809523808,0.07462686567164178,67,6.761011295102204,37.507462686567166
38,ecGEM,spermidine,without mitochondria,l3,0.19047619047619047,0.2,20,6.392424242424243,30.55
39,ecGEM,spermidine,without mitochondria,fcc,0.047619047619047616,0.5,2,7.0,25.5
40,ecGEM,2-phenylethanol,no,l1,0.6923076923076923,0.2647058823529412,34,6.433734383065934,64.67647058823529
41,ecGEM,2-phenylethanol,no,l2,0.6153846153846154,0.32,25,6.776973830091477,75.28
42,ecGEM,2-phenylethanol,no,l3,0.38461538461538464,0.625,8,6.26875,46.75
43,ecGEM,2-phenylethanol,no,fcc,0.38461538461538464,0.5555555555555556,9,6.096632996632996,8.0
44,ecGEM,ffa,no,l1,0.16666666666666666,0.05555555555555555,54,5.793752517593016,35.09803921568628
45,ecGEM,ffa,no,l2,0.16666666666666666,0.08108108108108109,37,5.762433828426476,40.270270270270274
46,ecGEM,ffa,no,l3,0.05555555555555555,0.047619047619047616,21,7.4375,5.571428571428571
47,ecGEM,ffa,no,fcc,0.05555555555555555,0.04,25,5.019739145658264,0.0
48,ecGEM,heme,no,l1,0.3157894736842105,0.2857142857142857,42,6.60312790190839,23.083333333333332
49,ecGEM,heme,no,l2,0.23684210526315788,0.3,30,6.559334035140487,24.96969696969697
50,ecGEM,heme,no,l3,0.21052631578947367,0.5714285714285714,14,6.178571428571429,6.5
51,ecGEM,heme,no,fcc,0.23684210526315788,0.5625,16,5.783333333333333,3.0
