,geneName,pathway,action,ecYeast_glucose,ecYeast_ethanol,efl_glucose,efl_ethanol,essential,FCCg,FCCp,filter_out,select
YLR133W,CKI1,Lipid metabolism,KD,False,False,True,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
YPR140W,TAZ1,Lipid metabolism,KD,False,False,True,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
YNL315C,ATP11,Oxidative phosphorylation,KD,True,False,False,False,unknown,,,False,False
YDR503C,LPP1,Lipid metabolism,KD,False,False,True,False,False,0.0,-2.689319721047409e-16,False,False
YCL005W-A,VMA9,Oxidative phosphorylation,KD,True,False,False,False,False,,,False,False
YMR267W,PPA2,Oxidative phosphorylation,KD,True,False,False,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
YHR123W,EPT1,Lipid metabolism,KD,False,False,True,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
YNL130C,CPT1,Lipid metabolism,KD,False,False,True,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
YML126C,ERG13,Terpenoid biosynthesis,OE,True,True,True,True,True,-0.4950636088300253,9.59363513054644e-07,False,True
YLR153C,ACS2,Ethanol metabolism,OE,False,True,False,True,False,-0.03839580506043008,5.580428257898654e-08,False,True
YMR008C,PLB1,Lipid metabolism,KD,False,False,True,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
YPL110C,GDE1,Lipid metabolism,KD,False,False,True,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
YNR019W,ARE2,Lipid metabolism,KD,True,False,True,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
SsTPS,,Terpenoid biosynthesis,OE,True,True,True,True,unknown,,,False,False
YJL180C,ATP12,Oxidative phosphorylation,KD,True,False,False,False,unknown,,,False,False
YER065C,ICL1,Glyoxylate metabolism,KD,False,False,True,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
YNL169C,PSD1,Lipid metabolism,KD,True,False,False,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
YBR204C,LDH1,Lipid metabolism,KD,True,False,False,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
YPL028W,ERG10,Terpenoid biosynthesis,OE,True,True,True,True,False,0.0,1.344659860523704e-16,False,False
YJR009C,TDH2,Glycolysis / gluconeogenesis,OE,False,False,True,False,False,0.0,0.0,False,False
YCR048W,ARE1,Lipid metabolism,KD,True,False,True,False,False,-1.387778780781446e-16,-1.344659860523704e-16,False,False
YJL052W,TDH1,Glycolysis / gluconeogenesis,OE,False,False,True,False,False,4.163336342344337e-16,0.0,False,False
YJR049C,UTR1,Cofactors metabolism,KD,False,False,True,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
YPL061W,ALD6,Ethanol metabolism,OE,False,True,False,False,False,-0.271396062512497,3.944454946464513e-07,False,True
YML082W,YML082W,Amino acids metabolism,KD,False,False,True,True,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
YOL086C,ADH1,Ethanol metabolism,OE,True,False,False,False,False,0.0,0.0,False,False
YOR222W,ODC2,Amino acids metabolism,KD,True,False,False,False,False,,,False,False
YPL134C,ODC1,Amino acids metabolism,KD,True,False,False,False,False,,,False,True
YFL030W,AGX1,Amino acids metabolism,KD,False,False,True,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
FRTT,,Terpenoid biosynthesis,OE,True,True,True,True,unknown,,,False,False
YDL052C,SLC1,Lipid metabolism,KD,True,True,False,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,True
YAL012W,CYS3,Amino acids metabolism,KD,False,False,True,True,False,0.0,0.0,False,False
YKR089C,TGL4,Lipid metabolism,KD,True,True,False,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
YJR130C,STR2,Amino acids metabolism,KD,False,False,True,True,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
YOR081C,TGL5,Lipid metabolism,KD,True,True,False,False,False,-1.387778780781446e-16,-2.689319721047409e-16,False,False
YNR043W,MVD1,Terpenoid biosynthesis,OE,True,True,True,True,True,-0.5053514874095458,1.099247263145254,False,False
YHR002W,LEU5,Cofactors metabolism,OE,True,False,True,False,False,,,False,True
YDL066W,IDP1,Amino acids metabolism,KD,True,False,False,False,False,-0.02368726165409132,0.0,False,True
