model_type,product_name,level,consistency,precision,predict_num,average_distance,connectivity_score
ecGEM,2-phenylethanol,l1,0.6923076923076923,0.2647058823529412,34,6.433734383065934,35.5
ecGEM,2-phenylethanol,l2,0.6153846153846154,0.32,25,6.776973830091477,35.0
ecGEM,2-phenylethanol,l3,0.38461538461538464,0.625,8,6.26875,10.0
ecGEM,2-phenylethanol,fcc,0.38461538461538464,0.5555555555555556,9,6.096632996632996,8.0
ecGEM,free fatty acids,l1,0.16666666666666666,0.05555555555555555,54,5.793752517593016,5.0
ecGEM,free fatty acids,l2,0.16666666666666666,0.08108108108108109,37,5.762433828426476,5.0
ecGEM,free fatty acids,l3,0.05555555555555555,0.047619047619047616,21,7.4375,0.0
ecGEM,free fatty acids,fcc,0.05555555555555555,0.04,25,5.019739145658264,0.0
ecGEM,heme,l1,0.3157894736842105,0.2857142857142857,42,6.60312790190839,6.5
ecGEM,heme,l2,0.23684210526315788,0.3,30,6.559334035140487,7.0
ecGEM,heme,l3,0.21052631578947367,0.5714285714285714,14,6.178571428571429,3.5
ecGEM,heme,fcc,0.23684210526315788,0.5625,16,5.783333333333333,3.0
ecGEM,sclareol,l1,0.4090909090909091,0.1,90,7.146556079480916,9.5
ecGEM,sclareol,l2,0.22727272727272727,0.09090909090909091,55,7.3024812451283045,10.0
ecGEM,sclareol,l3,0.045454545454545456,0.02702702702702703,37,7.048872180451129,5.0
ecGEM,sclareol,fcc,0.045454545454545456,0.25,4,4.875,8.5
ecGEM,spermidine,l1,0.38095238095238093,0.08080808080808081,99,6.249792703150912,8.0
ecGEM,spermidine,l2,0.23809523809523808,0.07936507936507936,63,6.638271604938271,8.0
ecGEM,spermidine,l3,0.19047619047619047,0.1,40,6.8768115942028984,6.0
ecGEM,spermidine,fcc,0.047619047619047616,1.0,1,6.0,10.0
etfl,2-phenylethanol,l1,0.5384615384615384,0.14,50,6.312276612276612,21.0
etfl,2-phenylethanol,l2,0.46153846153846156,0.13636363636363635,44,6.352188552188553,21.0
etfl,2-phenylethanol,l3,0.3076923076923077,1.0,4,5.1,6.5
etfl,2-phenylethanol,fcc,0.3076923076923077,0.5714285714285714,7,5.057142857142857,12.0
etfl,free fatty acids,l1,0.2222222222222222,0.06779661016949153,59,6.604469901168015,21.0
etfl,free fatty acids,l2,0.2222222222222222,0.0851063829787234,47,6.710294269222841,20.0
etfl,free fatty acids,l3,0.0,0.0,2,9.357142857142854,31.5
etfl,free fatty acids,fcc,0.05555555555555555,0.1111111111111111,9,6.55625,40.0
etfl,heme,l1,0.2894736842105263,0.12222222222222222,90,6.75488245931284,14.5
etfl,heme,l2,0.21052631578947367,0.15384615384615385,52,6.650811688311689,14.5
etfl,heme,l3,0.18421052631578946,0.5384615384615384,13,5.884615384615385,3.0
etfl,heme,fcc,0.21052631578947367,0.6666666666666666,12,5.681818181818182,2.5
etfl,sclareol,l1,0.18181818181818182,0.044444444444444446,90,7.569444444444445,5.0
etfl,sclareol,l2,0.13636363636363635,0.0379746835443038,79,7.527298850574713,5.0
etfl,sclareol,l3,0.045454545454545456,0.05263157894736842,19,7.605263157894737,8.0
etfl,sclareol,fcc,0.045454545454545456,0.25,4,4.875,8.5
etfl,spermidine,l1,0.5238095238095238,0.13414634146341464,82,6.622596153846153,18.0
etfl,spermidine,l2,0.47619047619047616,0.15873015873015872,63,6.736090953072085,18.0
etfl,spermidine,l3,0.09523809523809523,0.4,5,5.7,12.0
etfl,spermidine,fcc,0.047619047619047616,1.0,1,6.0,10.0
