model_type,simulation_method,product_name,consistency,precision,predict_num,average_distance,connectivity_score
ecGEM,moma,2-phenylethanol,0.75,0.20454545454545456,44,6.48468834688347,9.5
ecGEM,mopa,2-phenylethanol,0.75,0.3,30,6.277107821372526,18.0
ecGEM,pfba,2-phenylethanol,0.6666666666666666,0.15384615384615385,52,6.254846373139055,17.0
ecGEM,ppfba,2-phenylethanol,0.6666666666666666,0.22857142857142856,35,0.0,0.0
ecGEM,moma,ffa,0.2222222222222222,0.056338028169014086,71,6.867199640637141,5.0
ecGEM,mopa,ffa,0.2222222222222222,0.06779661016949153,59,5.883469853465109,8.0
ecGEM,pfba,ffa,0.16666666666666666,0.1111111111111111,27,6.298941798941799,13.0
ecGEM,ppfba,ffa,0.2777777777777778,0.078125,64,0.0,0.0
ecGEM,moma,heme,0.3684210526315789,0.2857142857142857,49,6.775252525252525,5.0
ecGEM,mopa,heme,0.3684210526315789,0.30434782608695654,46,6.937867687867687,4.0
ecGEM,pfba,heme,0.2631578947368421,0.20833333333333334,48,6.724975496201911,13.0
ecGEM,ppfba,heme,0.631578947368421,0.36363636363636365,66,0.0,0.0
ecGEM,moma,sclareol,0.36363636363636365,0.08247422680412371,97,7.673599830978127,6.0
ecGEM,mopa,sclareol,0.36363636363636365,0.09876543209876543,81,7.291363684654126,8.0
ecGEM,pfba,sclareol,0.2727272727272727,0.15384615384615385,39,6.6625067640692635,19.0
ecGEM,ppfba,sclareol,0.4090909090909091,0.10465116279069768,86,0.0,0.0
ecGEM,moma,spermidine,0.38095238095238093,0.12698412698412698,63,6.225335249042145,13.0
ecGEM,mopa,spermidine,0.38095238095238093,0.08602150537634409,93,6.30181104120352,10.0
ecGEM,pfba,spermidine,0.3333333333333333,0.1320754716981132,53,5.9740374873353606,15.0
ecGEM,ppfba,spermidine,0.47619047619047616,0.136986301369863,73,0.0,0.0
GANall,mopa_GAN,2-phenylethanol,0.6666666666666666,0.4444444444444444,18,0.0,0.0
GANall,ppfba_GAN,2-phenylethanol,0.6666666666666666,0.5,16,0.0,0.0
GANall,mopa_GAN,ffa,0.1111111111111111,0.125,16,0.0,0.0
GANall,ppfba_GAN,ffa,0.1111111111111111,0.11764705882352941,17,0.0,0.0
GANall,mopa_GAN,heme,0.34210526315789475,0.24074074074074073,54,0.0,0.0
GANall,ppfba_GAN,heme,0.34210526315789475,0.25,52,0.0,0.0
GANall,mopa_GAN,sclareol,0.36363636363636365,0.10256410256410256,78,0.0,0.0
GANall,ppfba_GAN,sclareol,0.4090909090909091,0.11842105263157894,76,0.0,0.0
GANall,mopa_GAN,spermidine,0.47619047619047616,0.20833333333333334,48,0.0,0.0
GANall,ppfba_GAN,spermidine,0.47619047619047616,0.21739130434782608,46,0.0,0.0
