,consistency,precision,predict_num
moma,0.40540540540540543,0.12396694214876033,363.0
mopa,0.3963963963963964,0.12607449856733524,349.0
pfba,0.38738738738738737,0.18067226890756302,238.0
ppfba,0.6216216216216216,0.2005813953488372,344.0
mopa_GANall,0.40540540540540543,0.2,225.0
ppfba_GANall,0.40540540540540543,0.20930232558139536,215.0
