compartment,Glucose_phase_rep1(g/gDW),Glucose_phase_rep2(g/gDW),Glucose_phase_rep3(g/gDW),Diauxic_shift_rep1(g/gDW),Diauxic_shift_rep2(g/gDW),Diauxic_shift_rep3(g/gDW),Ethanol_phase_rep1(g/gDW),Ethanol_phase_rep2(g/gDW),Ethanol_phase_rep3(g/gDW),Min_aerobic_1,Min_aerobic_2,Rich_aerobic_1,Rich_aerobic_2,Min_anaerobic_1,Min_anaerobic_2,Min_anaerobic_3,Rich_anaerobic_1,Rich_anaerobic_2,Rich_anaerobic_3,maltose(mmol/gDW),oleate(mmol/gDW),fructose(mmol/gDW),sucrose(mmol/gDW),trehalose(mmol/gDW),lactate(mmol/gDW),acetate(mmol/gDW),pryuvate(mmol/gDW),glycerol(mmol/gDW),galactose(mmol/gDW),raffinose(mmol/gDW)
nucleus,0.1181192654730724,0.11698326831806,0.1178752824263872,0.07627932728927034,0.07537041180541533,0.07795655542719629,0.07265490485753229,0.07430788977198706,0.07481935027164006,0.05537946636545747,0.05197185122748114,0.04740132103786226,0.04699025987888394,0.06110405370009245,0.06239763717356905,0.06065334273201646,0.05207851742583518,0.05561449966232756,0.05553336139129082,0.06020715844659798,0.05803840488253067,0.05542693742237342,0.05855286928825298,0.05866816167488979,0.06170262281148065,0.0460104801275655,0.06234852249178495,0.05867814388153645,0.0609747412689633,0.05508392606704549
mitochondrion,0.242236557611381,0.2402341282549773,0.2414315940756552,0.3080845917516712,0.3116747712053906,0.3129580665784722,0.3061078964622178,0.3053338877116459,0.3033589344045995,0.2157507761079777,0.2091850252303255,0.2084191999141306,0.2081742197446269,0.2758773604011919,0.2698145950453163,0.2750478201451944,0.2623344557759028,0.2611682521268682,0.2637662176014479,0.4073448462575341,0.3888094387554085,0.2516830017344817,0.2474369438138364,0.4150751471267025,0.3972507332601286,0.4543426119303611,0.3813547792842621,0.4159401000278954,0.2592359948718864,0.3124023528218589
membrane,0.03628402441273401,0.03507877544805524,0.03618984870246836,0.07397012534853564,0.0771923827291485,0.08090708823899903,0.06450058857957539,0.06457521171728178,0.0652062575409091,0.03636524837329291,0.03425563217181576,0.04132918195837747,0.0412212881077319,0.03666776177506965,0.03690757881031304,0.03742877075472342,0.03680708489124799,0.03948471733294175,0.03940401133718405,0.06262928895691222,0.06637366174500045,0.04951901426397954,0.05016274728796661,0.06771148725685798,0.06493095972333147,0.08873475372198077,0.07190793075388441,0.07559396618613956,0.06338304188258571,0.06628877994563494
cytosol,0.1798359162282805,0.1777308922347565,0.178796482751631,0.1804298621559011,0.1778785686925516,0.1768430446245961,0.1623166207495089,0.1645545308002592,0.1605520348024137,0.09922661319221314,0.09732540735740614,0.1017887970528064,0.1006653018624778,0.1348400054503753,0.1334688278334204,0.1344830992844031,0.1304347096152549,0.1322350060593197,0.1326372651067069,0.1594929154464611,0.1584169448616518,0.1217659168172984,0.1130809757215492,0.1639493733029201,0.1592153151845699,0.1632382354636446,0.1538062151320904,0.1300095426822301,0.0932724483131493,0.09845699565312081
cytoplasm,0.2798271644037112,0.2828404065285879,0.2785661864925364,0.2727889005871421,0.2746737241383059,0.2692734692451386,0.3153547191823583,0.3082805417909186,0.315330285750402,0.2867809209795018,0.2885916394348945,0.2206331134402245,0.2216527761822825,0.37460453011574,0.3715433090381172,0.3717159515449667,0.3204847482170648,0.3091023600794126,0.3110917585198498,0.2478751984836757,0.2407605889508283,0.270909234270386,0.2467281278468857,0.2462690993511576,0.2413916242889722,0.2010354339200809,0.222166366786765,0.2133102720300968,0.2288492856524068,0.2201860482782222
lipid droplet,0.07399419909407887,0.07283813703350431,0.07329444986205973,0.05562953543508981,0.05076310837177112,0.05202887825056665,0.03028173025828955,0.03305943620509495,0.03066679822091808,0.00829827542129905,0.007901374571257214,0.01008294212167598,0.01003682851081961,0.01357028246038525,0.01381673157197948,0.0136704161189993,0.01364981619734585,0.01515469330919376,0.01495379369319677,0.01449700582524813,0.009904589851524204,0.01227380895090006,0.01267813504067615,0.01344214895468695,0.01319126225766761,0.008050748829177284,0.01226969364810843,0.01422525627800107,0.01104282270888203,0.0102077500944019
peroxisome,0.003139388047328091,0.002874361753279942,0.003092214329213892,0.006828470153251126,0.007461540686041481,0.006553395507526185,0.01609695566331804,0.01610952542259932,0.01564700835615943,0.004729616503113473,0.004967620571529273,0.004161746752258067,0.00419607504937603,0.003960335113081745,0.004041192838567626,0.004142191904583644,0.003064959661859754,0.003336001432475816,0.003357607200768693,0.02734257047776214,0.05689408494120854,0.005414160707902073,0.004474246439685458,0.04061766979119498,0.03409180366126257,0.04829676664149062,0.03257941492633904,0.02276180302054316,0.003623957727761359,0.005529342640107209
mitochondrial matrix,0.02150169652274386,0.02073071278600461,0.0213528227514017,0.03269147153939067,0.03443490070799604,0.03192111411926475,0.06515440752278046,0.06551278346450301,0.0636571657291003,0.02776652585602786,0.02894011209041967,0.02146465399294293,0.0218741394349334,0.02622990934319312,0.02650841996958501,0.02659584352063543,0.01555047752044258,0.01588729458486062,0.01601875787054828,0.09605999470091917,0.1249767131420708,0.0257765451993708,0.02607769843558364,0.1106448121191557,0.107903331391385,0.1564135882090834,0.09573810978453684,0.1078299415991052,0.02530963037739043,0.03903672117250235
