gene_IDs,gene_names,k_score,action
YDL168W,,1000.0,OE
YLR438W,,1000.0,OE
YDR380W,,1000.0,OE
YPR140W,,1000.0,OE
YBR145W,,1000.0,OE
YOL086C,,1000.0,OE
YBR196C,,833.5,OE
YNL316C,,31.23981440952883,OE
YPR060C,,17.83915305228739,OE
YGL148W,,15.637939215963227,OE
YBR249C,,15.637939215963227,OE
YDR035W,,15.637939215963227,OE
YDR127W,,15.637939215963225,OE
YBR291C,,8.515400252891453,OE
YPR021C,,7.333011932143325,OE
YOR095C,,1.2647004294361526,OE
YDR050C,,1.1683913347125021,OE
YKL060C,,1.156482767538728,OE
YGR240C,,1.156482767538728,OE
YMR205C,,1.156482767538728,OE
YIL048W,,0.17291929753161314,KD
YMR162C,,0.17291929753161314,KD
YAL026C,,0.17291929753161314,KD
YOR347C,,0.1700068688067838,KD
YAL038W,,0.1700068688067838,KD
YAL044C,,0.1672382233128149,KD
YMR189W,,0.1672382233128149,KD
YDR019C,,0.1672382233128149,KD
YJL200C,,0.15818548312186018,KD
YGR243W,,0.13419270498754632,KD
YHR162W,,0.13419270498754632,KD
YGL080W,,0.13419270498754632,KD
YPL262W,,0.12637994379124823,KD
YER178W,,0.1047708680860162,KD
YNL071W,,0.1047708680860162,KD
YGR193C,,0.1047708680860162,KD
YBR221C,,0.1047708680860162,KD
YFL018C,,0.10283438415678317,KD
YPR001W,,0.06887096624372019,KD
YNR001C,,0.06887096624372019,KD
YKL085W,,0.06887096624372019,KD
YDR148C,,0.005745145618321236,KO
YIL125W,,0.005745145618321236,KO
YFR049W,,0.005260383458119089,KO
YOR142W,,0.005259887582528538,KO
YGR244C,,0.005259887582528538,KO
YKL029C,,0.0,KO
YOR323C,,0.0,KO
YDR503C,,0.0,KO
YDR300C,,0.0,KO
YJR148W,,-6.793813766853621,KO
